symbol,half_spread,impact_$100K,total_$100K,depth_buy_$100K,impact_$375K,total_$375K,depth_buy_$375K,impact_$1M,total_$1M,depth_buy_$1M,impact_$5M,total_$5M,depth_buy_$5M,ac_impact_375K,vol_annual,adtv_weekly
ALT,6.899882701994983e-05,0.0016968909917472125,0.0016968909917472125,9979.717244,0.0016968909917472125,0.0016968909917472125,9979.717244,0.0016968909917472125,0.0016968909917472125,9979.717244,0.0016968909917472125,0.0016968909917472125,9979.717244,0.018538706764826805,0.5328423493209784,2151331.689002
ANIME,0.00010737678513897405,0.0025595377256093384,0.0025595377256093384,45878.832911000005,0.0025595377256093384,0.0025595377256093384,45878.832911000005,0.0025595377256093384,0.0025595377256093384,45878.832911000005,0.0025595377256093384,0.0025595377256093384,45878.832911000005,0.01797792508359162,0.5159730000659124,2145080.503997
ANKR,0.00022527596305477196,0.0027692478441475425,0.0027692478441475425,39939.597445,0.0027692478441475425,0.0027692478441475425,39939.597445,0.0027692478441475425,0.0027692478441475425,39939.597445,0.0027692478441475425,0.0027692478441475425,39939.597445,0.02,0.5051324015733035,1059686.336623
APE,0.0005002501250625455,0.0034175852863978034,0.0034175852863978034,118383.41769999999,0.010187048115766418,0.010187048115766418,325598.00859999994,0.010370752584880343,0.010370752584880343,325598.00859999994,0.010370752584880343,0.010370752584880343,325598.00859999994,0.011303513512265242,0.7123851256889958,10343595.9161
API3,0.00017771459036784964,0.0038423998343331545,0.0038423998343331545,49217.307129999994,0.0038423998343331545,0.0038423998343331545,49217.307129999994,0.0038423998343331545,0.0038423998343331545,49217.307129999994,0.0038423998343331545,0.0038423998343331545,49217.307129999994,0.01724429082788159,0.4531666458888088,1798431.79853
APT,5.045154129458099e-05,0.0011486687618464998,0.0011486687618464998,91018.9925,0.0011486687618464998,0.0011486687618464998,91018.9925,0.0011486687618464998,0.0011486687618464998,91018.9925,0.0011486687618464998,0.0011486687618464998,91018.9925,0.005922515369281303,0.7075944534793746,37172795.52666
AR,0.00029770765108660014,0.004602691991201388,0.004602691991201388,109302.43560000001,0.006450366236360821,0.006450366236360821,119940.88130000001,0.006450366236360821,0.006450366236360821,119940.88130000001,0.006450366236360821,0.006450366236360821,119940.88130000001,0.017017492032449327,0.98826663436961,8782657.1584
ARB,0.0004875670404680783,0.0008607344068354863,0.0008607344068354863,157049.64188999997,0.0028269055935697613,0.0028269055935697613,441758.2595,0.006933673568198134,0.006933673568198134,1139811.2015099998,0.009490436237777854,0.009490436237777854,1323716.31699,0.005747588531957506,0.7912787028024681,49357867.78052
ARC,0.00012795905310295744,0.0029914087777741724,0.0029914087777741724,11970.37944,0.0029914087777741724,0.0029914087777741724,11970.37944,0.0029914087777741724,0.0029914087777741724,11970.37944,0.0029914087777741724,0.0029914087777741724,11970.37944,0.007869839037797447,2.8113703153757683,332332784.08578
ARK,0.0002841716396703296,0.006039036467977175,0.006039036467977175,32541.451399999998,0.006039036467977175,0.006039036467977175,32541.451399999998,0.006039036467977175,0.006039036467977175,32541.451399999998,0.006039036467977175,0.006039036467977175,32541.451399999998,0.016271698648852494,0.5086088512708246,2544314.6486
ARKM,0.0004732607666824556,0.004762277591873484,0.004762277591873484,105239.16000000002,0.009869423340477305,0.009869423340477305,219672.84780000002,0.009869423340477305,0.009869423340477305,219672.84780000002,0.009869423340477305,0.009869423340477305,219672.84780000002,0.013783992266955812,0.6122146723550753,5137196.7774
ARPA,0.0005007511266901015,0.010365938889137461,0.010365938889137461,47864.24696999999,0.010365938889137461,0.010365938889137461,47864.24696999999,0.010365938889137461,0.010365938889137461,47864.24696999999,0.010365938889137461,0.010365938889137461,47864.24696999999,0.02,0.6787123323566348,1856482.3008
ASTER,7.14234697521527e-05,0.0006920304735671895,0.0006920304735671895,126962.37970000002,0.0016011181683619415,0.0016011181683619415,277419.4922,0.0016011181683619415,0.0016011181683619415,277419.4922,0.0016011181683619415,0.0016011181683619415,277419.4922,0.004732967791339037,0.8070221436081105,75713370.5604
ASTR,0.0001301574905635992,0.0015260465012711668,0.0015260465012711668,6497.215625999999,0.0015260465012711668,0.0015260465012711668,6497.215625999999,0.0015260465012711668,0.0015260465012711668,6497.215625999999,0.0015260465012711668,0.0015260465012711668,6497.215625999999,0.02,0.6740902469277489,1239954.984431
ATA,0.004255319148936144,0.011834122719742999,0.011834122719742999,248826.2507,0.027368600404183433,0.027368600404183433,414675.89590000006,0.06485346803585917,0.06485346803585917,884172.7569000003,0.06485346803585917,0.06485346803585917,884172.7569000003,0.02,0.5197165359531705,625986.4058
ATH,7.51145496882846e-05,0.0017937549987174948,0.0017937549987174948,22039.367204999995,0.0017937549987174948,0.0017937549987174948,22039.367204999995,0.0017937549987174948,0.0017937549987174948,22039.367204999995,0.0017937549987174948,0.0017937549987174948,22039.367204999995,0.012734451568165734,0.8735539076365454,12254277.339835
